stop_id,name,lat,lng
3437,South Providence Medical Plaza,38.90037155151367,-92.33193969726562
3474,South Sixth Street & Cherry Street (North),38.95049285888672,-92.33075714111328
3407,South Sixth Street & Cherry Street (South),38.95056915283203,-92.33084106445312
2640,South Sixth Street & Elm Street,38.94865417480469,-92.3309326171875
2735,South Sixth Street at Noyels Hall,38.946861267089844,-92.33085632324219
3402,Tiger Avenue & Hospital Drive,38.9383544921875,-92.33065032958984
3281,Tiger Avenue & Kentucky Boulevard,38.93925094604492,-92.33055877685547
3282,Tiger Avenue & Rollins Street (North),38.942264556884766,-92.32994079589844
3134,Tiger Avenue & Rollins Street (South),38.942413330078125,-92.33003234863281
2479,Tiger Avenue at Residence Halls (South),38.93836212158203,-92.33079528808594
2774,Wabash Station,38.95344543457031,-92.32564544677734
2573,Bernadette Drive & West Worley Street,38.96162796020508,-92.36886596679688
3043,Bernadette Drive at Commerce Bank,38.96552658081055,-92.36965942382812
3265,Bernadette Drive at Joe Machens Ford,38.961669921875,-92.36865997314453
3266,Bernadette Drive at Marshalls,38.96564483642578,-92.36946868896484
3495,Bernadette Drive at Target,38.96604537963867,-92.37689208984375
3186,Bernadette Drive at the Columbia Mall,38.96571731567383,-92.3736343383789
3267,Bernadette Drive at the Holiday Inn,38.965919494628906,-92.37342071533203
3486,Business Loop 70 West at North Garth Avenue (Mizzou North),38.96538162231445,-92.33920288085938
3488,Business Loop 70 West at Parkade Plaza,38.966041564941406,-92.34566497802734
3487,Business Loop 70 West at Rusk Rehabilitation Hospital,38.965755462646484,-92.34246826171875
3489,Business Loop 70 West at The Food Bank,38.966243743896484,-92.34822082519531
3551,Douglas Park,38.957183837890625,-92.33332824707031
3549,East Worley Street & GartH,38.95808410644531,-92.33857727050781
3198,East Worley Street & Lasalle Place,38.95760726928711,-92.33637237548828
3254,East Worley Street & Woodlawn Avenue,38.95777893066406,-92.33631896972656
3550,Fifth Street & Park Avenue,38.95474624633789,-92.33187866210938
2714,North Garth Avenue & Austin Avenue,38.963844299316406,-92.33857727050781
3435,North Garth Avenue at Oak Towers Apartments,38.96001052856445,-92.33866119384766
3472,Park Avenue & North Eighth Street (East),38.95451354980469,-92.32838439941406
3468,Park Avenue & North Eighth Street (West),38.95457077026367,-92.32830047607422
3469,Park Avenue & North Fifth Street (West),38.95466995239258,-92.33169555664062
3199,Rogers Street & North Fifth Street (East),38.95684814453125,-92.33177185058594
3470,Rogers Street & North Fifth Street (West),38.95685958862305,-92.3316879272461
2633,Rogers Street & North Providence Road,38.957298278808594,-92.33318328857422
2774,Wabash Station,38.95344543457031,-92.32564544677734
3492,West Sexton Road & Banks Avenue,38.96149444580078,-92.34375762939453
3491,West Sexton Road & Mikel Street,38.96335983276367,-92.34685516357422
3493,West Sexton Road & Oak Street,38.9608154296875,-92.34066772460938
3490,West Sexton Road at U-Haul,38.965335845947266,-92.34856414794922
3196,West Worley Street & Alexander Avenue,38.9585075378418,-92.34373474121094
3308,West Worley Street & Auburn Lane,38.959842681884766,-92.35789489746094
3256,West Worley Street & Banks Avenue,38.95872116088867,-92.34445190429688
3194,West Worley Street & Hardin Street (East),38.959190368652344,-92.35089111328125
3258,West Worley Street & Hardin Street (West),38.95934295654297,-92.35126495361328
3192,West Worley Street & Hunt Avenue (East),38.96007537841797,-92.36026000976562
3261,West Worley Street & Hunt Avenue (West),38.96022415161133,-92.36046600341797
3322,West Worley Street & Noble Court (East),38.957881927490234,-92.3382339477539
3197,West Worley Street & Oak Street (East),38.95817565917969,-92.34066009521484
3255,West Worley Street & Oak Street (West),38.95832443237305,-92.34072875976562
3260,West Worley Street & Pershing Road,38.959938049316406,-92.35730743408203
3195,West Worley Street & Ridgeway Avenue (East),38.958900451660156,-92.3476333618164
3257,West Worley Street & Ridgeway Avenue (West),38.959014892578125,-92.3475570678711
3262,West Worley Street & Spencer Avenue,38.960479736328125,-92.3634262084961
3264,West Worley Street at Bernadette Drive,38.96091079711914,-92.36813354492188
3263,West Worley Street at Columbia Square Townhome Apartments,38.96072769165039,-92.36588287353516
2730,West Worley Street at Steak 'n Shake,38.96083450317383,-92.36831665039062
3193,West Worley Street at the Columbia Health Department (East),38.95956039428711,-92.35467529296875
3259,West Worley Street at the Columbia Health Department (West),38.95973205566406,-92.35475158691406
2753,West Worley Street at the Columbia Public School Office,38.9605712890625,-92.36551666259766
3191,West Worley Street at West Middle School,38.96033477783203,-92.36322784423828
3499,Ashley Street Center,38.967464447021484,-92.31612396240234
3478,Derby Ridge Drive & Citadel Drive,39.00074768066406,-92.31266021728516
3477,Derby Ridge Drive & High Quest Circle,38.997894287109375,-92.31385040283203
3476,Derby Ridge Drive & Typhoon Court,38.996334075927734,-92.31476593017578
3105,East Brown School Road & Edenton Boulevard,39.00262451171875,-92.31790924072266
3106,East Brown School Road & Rangeline Street,39.00096130371094,-92.32176208496094
3468,Park Avenue & North Eighth Street (West),38.95457077026367,-92.32830047607422
3469,Park Avenue & North Fifth Street (West),38.95466995239258,-92.33169555664062
2872,Rangeline Street & Blue Ridge Road,38.98384094238281,-92.3261947631836
2699,Rangeline Street & Business Loop 70 East,38.9635124206543,-92.32462310791016
2710,Rangeline Street & Elleta Boulevard (North),38.974822998046875,-92.32635498046875
2513,Rangeline Street & Elleta Boulevard (South),38.9747428894043,-92.32670593261719
2758,Rangeline Street & Rain Forest Parkway,38.989437103271484,-92.32463836669922
2468,Rangeline Street & Rustic Meadows Drive,38.98548126220703,-92.32576751708984
3083,Rangeline Street & Smiley Lane (North),38.99299240112305,-92.32234191894531
3112,Rangeline Street & Smiley Lane (South),38.9938850402832,-92.32392883300781
2666,Rangeline Street & Vandiver Drive (North),38.971622467041016,-92.3258285522461
3479,Rangeline Street & Vandiver Drive (South),38.97036361694336,-92.32561492919922
2787,Rangeline Street & Wilkes Boulevard,38.96013641357422,-92.32491302490234
2950,Rangeline Street at Boone Electric (North),38.9660758972168,-92.32454681396484
2688,Rangeline Street at Boone Electric (South),38.966217041015625,-92.32479095458984
2683,Rangeline Street at Colonial Village (North),38.981178283691406,-92.32596588134766
2575,Rangeline Street at Colonial Village (South),38.98075485229492,-92.32637023925781
3126,Rangeline Street at Wilson's Fitness,38.9777717590332,-92.3265380859375
3250,Rogers Street & Columbia College,38.95655822753906,-92.32556915283203
3470,Rogers Street & North Fifth Street (West),38.95685958862305,-92.3316879272461
3502,Senior Center,38.964115142822266,-92.32275390625
3082,Smiley Lane & Derby Ridge Drive,38.99324417114258,-92.31729888916016
2774,Wabash Station,38.95344543457031,-92.32564544677734
3200,Washington Avenue & Wilkes Boulevard,38.96059036254883,-92.33148193359375
3202,Wilkes Boulevard & North Eighth Street,38.9601936340332,-92.32694244384766
2627,Wilkes Boulevard & North Seventh Street (North),38.96037292480469,-92.32868194580078
2768,Champions Drive at Hearnes Center & Lot SG4,38.932525634765625,-92.32951354980469
3525,Lake Street & Hitt Street,38.93921661376953,-92.32532501220703
2862,Rollins Street at Cornell Hall,38.94228744506836,-92.32967376708984
2635,Rollins Street at the MU Student Center,38.942108154296875,-92.3266372680664
3402,Tiger Avenue & Hospital Drive,38.9383544921875,-92.33065032958984
3281,Tiger Avenue & Kentucky Boulevard,38.93925094604492,-92.33055877685547
3553,Virginia Avenue MOI,38.93649673461914,-92.325439453125
